datetime,open,high,low,close,K,D,%R,%R.1
2025-07-17 13:15:00,29.9,31.55,28.05,29.4,58.17804922165336,58.772663023413735,-65.21739130434783,-34.049079754601244
2025-07-17 13:16:00,29.6,29.6,24.85,29.3,53.39829416857789,57.65183931121149,-38.62068965517242,-37.91946308724833
2025-07-17 13:17:00,29.25,29.25,27.8,28.5,39.133028372588285,50.23645725427317,-49.65517241379312,-43.28859060402686
2025-07-17 13:18:00,28.55,33.75,28.3,31.3,38.96429567421182,43.83187273845933,-27.528089887640448,-24.496644295302023
2025-07-17 13:19:00,31.45,33.3,30.15,31.7,41.335039603429074,39.81078788340972,-23.033707865168548,-21.81208053691277
2025-07-17 13:20:00,30.85,31.85,29.75,30.25,46.55282317327433,42.28405281697173,-39.325842696629216,-31.54362416107384
2025-07-17 13:21:00,30.15,31.35,29.65,30.4,43.89441402610527,43.927425600936225,-37.64044943820227,-30.53691275167788
2025-07-17 13:22:00,30.2,31.9,28.65,31.2,47.95576989813554,46.13433569917171,-28.65168539325844,-25.16778523489935
2025-07-17 13:23:00,31.0,33.15,29.0,32.1,67.76196412214254,53.204049348794435,-18.539325842696616,-19.127516778523496
2025-07-17 13:24:00,31.8,39.2,30.8,36.25,87.48562034111028,67.73445145379611,-20.557491289198623,-15.404699738903409
2025-07-17 13:25:00,37.05,37.4,32.85,35.0,88.78616448102025,81.34458298142435,-36.84210526315791,-21.93211488250654
2025-07-17 13:26:00,35.4,36.15,32.75,33.4,69.35080051302977,81.87419511172008,-53.21100917431196,-30.28720626631856
2025-07-17 13:27:00,32.95,34.15,31.35,32.15,40.29236464484378,66.14310987963125,-66.82464454976305,-36.81462140992169
