time,open,high,low,close,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry1,Entry2,EMA 15,Armed,K,D,%R,%R
1753076040,164.6,164.6,158.4,158.9,NaN,154.3928407064049,146.35982810406918,NaN,0,0,156.05458443066448,0,74.66963820429248,81.64257538076497,-41.640378548895875,-28.0851063829787
1753076100,160,161.55,156.5,158.25,NaN,154.79627256512393,146.35982810406918,NaN,0,0,156.32901137683143,0,74.51611196389463,78.51974883071343,-57.312252964426854,-30.851063829787233
1753076160,157.8,162.9,157.8,160.75,NaN,155.10101805209914,146.35982810406918,NaN,0,0,156.8816349547275,0,62.47457933684953,70.55344316834557,-42.035398230088454,-20.21276595744681
1753076220,159.7,162,159,159.3,NaN,156.10081444167932,146.35982810406918,NaN,0,0,157.18393058538658,0,57.504158300835826,64.83161653386001,-54.86725663716798,-26.382978723404207
1753076280,159.9,163,158.9,163,NaN,156.10081444167932,146.35982810406918,NaN,0,0,157.91093926221325,0,59.41620407990416,59.79831390586319,-22.123893805309713,-10.638297872340425
1753076340,162.5,171.4,161.6,167,NaN,156.10081444167932,150.0927824793344,NaN,0,0,159.04707185443658,0,67.43781922594242,61.452727202227486,-25.581395348837216,-14.96598639455784
1753076400,165.75,169,161.05,161.6,NaN,156.10081444167932,150.0927824793344,NaN,0,0,159.366187872632,0,59.98672585503979,62.280249720295465,-56.976744186046524,-33.333333333333364
1753076460,161.6,163.15,159.55,162.2,NaN,156.55086159531186,150.0927824793344,NaN,0,0,159.720414388553,0,48.4889065070815,58.637817196021246,-56.44171779141111,-31.292517006802772
1753076520,162.15,165.95,160.75,160.75,NaN,156.7686892762495,150.0927824793344,NaN,0,0,159.84911258998386,0,24.183269255232418,44.219633872451254,-71.47651006711409,-36.22448979591837
1753076580,161.1,161.6,156.3,156.95,NaN,NaN,150.0927824793344,NaN,0,0,159.48672351623588,0,15.465243624766638,29.379139795693533,-95.69536423841075,-49.14965986394563
1753076640,156.7,159.6,154.95,158.2,NaN,NaN,150.0927824793344,NaN,0,0,159.3258830767064,0,8.500792749757956,16.04976854325235,-80.24316109422494,-44.89795918367352
1753076700,158.2,159.35,157,159.15,NaN,NaN,150.0927824793344,NaN,0,0,159.30389769211808,0,9.689340684725634,11.218459019750087,-74.4680851063829,-41.66666666666666
1753076760,159.9,162,159.8,161.8,NaN,NaN,150.0927824793344,NaN,0,0,159.61591048060333,1,23.26467255150806,13.818268661997228,-58.358662613981664,-32.65306122448977
1753076820,161,161.85,157.65,159.15,NaN,NaN,150.0927824793344,NaN,0,1,159.55767167052792,0,25.41004410946034,19.45468578189802,-74.4680851063829,-41.66666666666666
1753076880,159.3,160,155.65,156.7,NaN,NaN,150.0927824793344,NaN,0,0,159.20046271171194,0,19.213717574015263,22.629478078327896,-87.54448398576514,-50.00000000000005
1753076940,156.8,158.2,154.05,155.1,NaN,NaN,150.0927824793344,NaN,0,0,158.68790487274794,0,5.638385707232838,16.754049130236158,-91.17647058823543,-55.44217687074833
1753077000,155.6,157.75,153.3,156.95,NaN,NaN,150.0927824793344,NaN,0,0,158.47066676365444,0,5.537873537640063,10.129992272962733,-71.14624505928866,-52.93040293040298
1753077060,157.25,157.3,151.05,152.5,NaN,NaN,150.0927824793344,NaN,0,0,157.72433341819763,0,5.537873537640063,5.571377594171,-86.75799086758,-73.3980582524272
1753077120,152.8,154.7,151.55,153.55,NaN,NaN,150.0927824793344,NaN,0,0,157.20254174092292,0,8.339190599744306,6.471645891674822,-77.16894977168947,-74.53027139874732
1753077180,153.2,153.45,151,151.75,NaN,NaN,150.0927824793344,NaN,0,0,156.52097402330756,0,2.8013170621042462,5.5594603998295495,-93.18181818181819,-90.34482758620692
