time,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,EMA,Up Trend,Down Trend,K,D,%R,%R.1,datetime
1750826160,25200.8,25202.6,25196.0,25198.3,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25197.28089867762,25183.749478272763,,13.488638763652837,19.913044422811662,-58.8571428571387,-24.789410348975817,2025-06-25 10:06:00
1750826220,25197.8,25200.9,25195.45,25195.75,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25197.08953634292,25183.749478272763,,12.046099144856692,12.336453153720738,-86.53198653198521,-30.92659446449764,2025-06-25 10:07:00
1750826280,25196.05,25196.4,25188.15,25191.6,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25196.403344300055,25183.749478272763,,2.01401721100013,9.182918373169882,-83.12958435209008,-56.95142378559741,2025-06-25 10:08:00
1750826340,25191.4,25193.75,25189.95,25192.45,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25195.909176262547,25183.749478272763,,1.659862234019762,5.23999286329219,-78.97310513447489,-54.10385259631023,2025-06-25 10:09:00
1750826400,25193.05,25194.35,25183.45,25184.9,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25194.53302922973,25183.749478272763,,1.6598622340197606,1.7779138930132128,-94.23459244532464,-79.39698492461724,2025-06-25 10:10:00
1750826460,25185.4,25185.8,25180.0,25180.95,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25192.835150576015,,25204.538572277223,1.6598622340197606,1.6598622340197562,-96.44194756554045,-92.62981574539084,2025-06-25 10:11:00
1750826520,25179.55,25186.15,25178.05,25183.9,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25191.718256754015,,25204.004715049497,4.1460524643605785,2.488592310800033,-76.17107942972564,-80.85106382977963,2025-06-25 10:12:00
1750826580,25184.8,25185.3,25177.55,25180.95,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25190.372224659764,,25203.46424354455,5.050300459578821,3.6187383859863864,-86.42714570857663,-89.04991948469716,2025-06-25 10:13:00
1750826640,25180.5,25180.5,25173.05,25173.05,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25188.206946577295,,25198.980319190097,5.050300459578821,4.74888446117274,-100.0,-100.0,2025-06-25 10:14:00
1750826700,25173.9,25177.45,25172.65,25175.3,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25186.59357825513,,25196.474787271087,3.7192346744917018,4.606611864549781,-90.6194690265564,-92.62865090403884,2025-06-25 10:15:00
