time,open,high,low,close,Fixed Stop Loss,Supertrend Stop,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,K,D,%R,%R
1752227760,86.15,88.9,85.75,88.9,NaN,NaN,NaN,82.09831000493033,NaN,0,0,85.7204724981329,44.3519797969407,44.053852850357885,-9.374999999999769,-3.529411764705793
1752227820,89.1,89.1,87.75,88.6,NaN,NaN,NaN,82.09831000493033,NaN,0,0,86.08041343586629,46.741893409271086,43.58433119019171,-15.625000000000009,-6.1475409836065635
1752227880,88.7,89,87.5,88.3,NaN,NaN,NaN,82.09831000493033,NaN,0,0,86.357861756383,57.959598647142286,49.6844906177847,-17.58241758241753,-9.459459459459438
1752227940,88.45,90.2,87.75,89.05,NaN,NaN,NaN,82.62758492948532,NaN,0,0,86.69437903683513,56.78076411707465,53.82741872449602,-20.353982300885036,-9.956709956710009
1752464700,101,102.05,83.2,100.35,NaN,NaN,NaN,82.62758492948532,NaN,0,0,88.40133165723074,70.7631202906663,61.83449435162775,-9.018567639257313,-7.26495726495728
1752464760,98.6,109,95.6,107.45,NaN,NaN,NaN,88.04909379288311,NaN,0,0,90.7824152000769,87.54889371776137,71.69759270850078,-6.0077519379844855,-5.107084019769349
1752464820,108.35,111,103.8,104.55,NaN,NaN,NaN,92.41418441359481,NaN,0,0,92.50336330006729,91.33674870067682,83.21625423636817,-23.201438848920873,-19.938176197836178
1752464880,101.8,107.9,100.15,107.5,NaN,NaN,NaN,92.41418441359481,NaN,0,0,94.37794288755887,84.9990750244951,87.96157248097778,-12.589928057553958,-10.81916537867079
1752464940,105.6,106,102.45,104.95,NaN,NaN,NaN,92.41418441359481,NaN,0,0,95.69945002661402,71.80467594820989,82.71349989112728,-21.762589928057547,-18.7017001545595
1752465000,102.35,109.8,101.5,104.3,NaN,NaN,NaN,92.41418441359481,NaN,0,0,96.77451877328727,65.579541846905,74.12776427320334,-24.100719424460443,-20.937500000000007
1752465060,104.25,114.45,104.15,111,NaN,NaN,NaN,92.41418441359481,NaN,0,0,98.55270392662636,62.25352198281289,66.54591325930927,-11.04000000000001,-9.732016925246834
1752465120,110.4,118,110.4,116.6,NaN,NaN,NaN,95.6432582543836,NaN,0,0,100.80861593579807,69.813315614521,65.88212648141297,-4.0229885057471435,-3.5897435897436045
1752465180,116.6,122.4,115.45,121.05,NaN,NaN,NaN,100.13893242894525,NaN,0,0,103.33878894382332,81.67454474328353,71.24712744687247,-3.44387755102043,-3.1877213695395707
1752465240,122.7,133,119.2,132.15,NaN,NaN,NaN,105.05253918605072,NaN,0,0,106.9401903258454,91.33823828355736,80.94203288045397,-2.2727272727272574,-1.6781836130305907
1752465300,129.3,131.2,124.9,128.35,NaN,NaN,NaN,106.93228526744565,NaN,0,0,109.61641653511472,87.78974009477793,86.93417437387295,-14.155251141552531,-9.180651530108598
1752465360,126.6,128.7,124.3,124.3,NaN,NaN,NaN,106.93228526744565,NaN,0,0,111.45186446822538,72.72905253629725,83.95234363821083,-26.484018264840195,-17.176702862783813
1752465420,125.3,125.3,120.05,121.05,NaN,NaN,NaN,106.93228526744565,NaN,0,0,112.6516314096972,45.891703814410874,68.80349881516202,-37.936507936507944,-23.59328726554788
1752465480,119.75,125.7,118.6,118.6,NaN,NaN,NaN,106.93228526744565,NaN,0,0,113.39517748348506,21.741474114434066,46.78741015504739,-45.71428571428573,-28.430404738400796
1752465540,119.55,121.5,116.65,118.45,NaN,NaN,NaN,106.93228526744565,NaN,0,0,114.02703029804943,6.49598461144696,24.709720846763968,-50.433275563258235,-29.216867469879514
1752465600,118.5,120.75,115.25,120.75,NaN,NaN,NaN,106.93228526744565,NaN,0,0,114.86740151079324,2.842195743987317,10.359884823289443,-54.20353982300886,-24.59839357429719
1752465660,120,125.4,118.35,125.4,NaN,NaN,NaN,106.93228526744565,NaN,0,0,116.18397632194409,10.939716340601938,6.7592988986787335,-42.816901408450676,-15.261044176706816
1752465720,124.4,127.8,122.1,122.1,NaN,NaN,NaN,106.93228526744565,NaN,0,0,116.92347928170108,11.309927094800367,8.36394639312987,-61.40845070422538,-21.887550200803222
1752465780,122.15,129.5,121.7,128.55,NaN,NaN,NaN,106.93228526744565,NaN,0,0,118.37679437148844,15.95770316535184,12.735782200251379,-16.614420062695793,-8.935742971887528
1752465840,128,129.2,124.45,126.4,NaN,NaN,NaN,107.79039801705127,NaN,0,0,119.37969507505238,10.54975681445102,12.605795691534405,-21.75438596491224,-13.25301204819276
1752465900,125.85,137,125.8,130.4,NaN,NaN,NaN,110.90885821534616,NaN,0,0,120.75723319067083,17.15105295062425,14.5528376434757,-30.344827586206872,-12.267657992565045
1752465960,131.35,132.1,125.25,125.25,NaN,NaN,NaN,110.90885821534616,NaN,0,0,121.31882904183698,9.66108113608547,12.453963633720242,-54.02298850574713,-21.84014869888476
1752466020,125.7,126.7,122.5,122.7,NaN,NaN,NaN,110.90885821534616,NaN,0,0,121.49147541160735,6.971506890371667,11.261213659027126,-65.7471264367816,-26.57992565055762
1752466080,122.85,122.85,117.9,119.8,NaN,NaN,NaN,110.90885821534616,NaN,0,0,121.28004098515643,7.105427357601002e-15,5.544196008819044,-79.08045977011496,-31.97026022304833
1752466140,119.4,122.65,118.25,119.5,NaN,NaN,NaN,110.90885821534616,NaN,0,0,121.05753586201187,7.105427357601002e-15,2.32383563012389,-91.62303664921468,-32.5278810408922
1752466200,119.5,122,117.2,117.2,NaN,NaN,NaN,110.90885821534616,NaN,0,0,120.57534387926039,6.5133084111342514e-15,3.651400169878292e-15,-100,-36.80297397769517
1752466260,114.65,116.25,112.05,112.05,NaN,NaN,NaN,110.90885821534616,NaN,0,0,119.50967589435284,6.5133084111342514e-15,3.454027187722709e-15,-100,-46.37546468401488
1752466320,112.25,115,112.25,114.75,NaN,NaN,NaN,110.90885821534616,NaN,0,0,118.91471640755873,4.503804448749604,1.5012681495832025,-89.17835671342684,-41.35687732342008
1752466380,115.7,116,109.3,111.65,NaN,NaN,NaN,110.90885821534616,NaN,0,0,118.00662685661389,4.503804448749604,3.0025362991664024,-91.5162454873646,-61.231884057970994
1752466440,112.35,112.35,107.6,108,NaN,NaN,NaN,NaN,126.99152806592892,0,0,116.75579849953715,4.503804448749604,4.503804448749602,-98.3673469387755,-78.69742198100408
1752466500,108,110.05,106.5,110.05,NaN,NaN,NaN,NaN,124.65487525933604,0,0,115.917573687095,3.267246079029483,4.091618325509561,-82.42574257425744,-73.13432835820898
1752466560,110.15,112.6,109.6,110.8,NaN,NaN,NaN,NaN,124.65487525933604,0,0,115.27787697620812,7.740365635751869,5.1704720545103156,-73.70030581039757,-73.80281690140846
1752466620,110.05,111.85,107.8,111.6,NaN,NaN,NaN,NaN,124.65487525933604,0,0,114.8181423541821,13.620557242689358,8.209389652490236,-68.42105263157899,-71.5492957746479
1752466680,111.65,115.45,111.2,113.65,NaN,NaN,NaN,NaN,124.65487525933604,0,0,114.67212455990934,19.69217527277304,13.684366050404755,-53.870967741935445,-71.08066971080669
1752466740,113.75,115.55,109.4,109.4,NaN,NaN,NaN,NaN,124.65487525933604,0,0,114.01310898992067,19.12989328644679,17.480875267303063,-70.25641025641019,-90.49180327868851
1752466800,109.5,113.65,105,105.75,NaN,NaN,NaN,NaN,124.65487525933604,0,0,112.98022036618059,13.249701679509295,17.357256746243042,-93.18181818181819,-97.65625
1752466860,105.45,107.1,102.5,103.65,NaN,NaN,NaN,NaN,120.97296478769678,0,0,111.81394282040802,3.910837570396142,12.096810845450742,-91.48148148148145,-96.66666666666666
1752466920,102.6,102.6,98.5,102.05,NaN,NaN,NaN,NaN,116.65066830892712,0,0,110.59344996785701,1.1842378929335002e-15,5.720179749968479,-79.17888563049854,-90.7792207792208
1752466980,101.95,102.75,98.15,98.45,NaN,NaN,NaN,NaN,116.3206014780344,0,0,109.07551872187489,0,1.3036125234653813,-98.27586206896554,-99.22779922779922
1752467040,98.25,99.75,96.4,98.1,NaN,NaN,NaN,NaN,113.36354133023096,0,0,107.70357888164052,0,4.440892098500626e-16,-91.12271540469979,-95.81280788177342
1752467100,98.5,101.85,98.3,100.65,NaN,NaN,NaN,NaN,113.36354133023096,0,0,106.82188152143546,9.233720098288595,3.0779066994295317,-77.80678851174933,-89.5320197044335
1752467160,100.7,100.95,96.65,97.4,NaN,NaN,NaN,NaN,113.36354133023096,0,0,105.64414633125602,11.90910998397249,7.047610027420362,-94.7780678851175,-97.53694581280789
1752467220,98.35,99.8,94.15,96.3,NaN,NaN,NaN,NaN,111.88759662973837,0,0,104.47612803984902,12.465566867692678,11.202798983317921,-89.95327102803742,-94.98249708284716
1752467280,95.35,96.15,91.65,92.35,NaN,NaN,NaN,NaN,108.71633696676453,0,0,102.96036203486788,3.2318467694040827,9.202174540356417,-96.81818181818186,-98.45644983461966
1752467340,91.95,94.9,91.45,93.7,NaN,NaN,NaN,NaN,107.54470327008809,0,0,101.8028167805094,4.957082326144305,6.884831987747021,-85.62300319488817,-95.06037321624589
