time,open,high,low,close,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry,SMA 21,%R,%R,K,D
1752216660,186.4,187.95,185.35,187.05,NaN,NaN,NaN,196.67838036542824,0,187.11237418311308,-36.41975308641964,-70.53140096618354,24.968129724216876,16.382400015421236
1752216720,186.9,187.2,183.9,186.95,NaN,NaN,NaN,196.67838036542824,0,187.09207741022394,-37.654320987654486,-75.99309153713301,37.18386333824839,25.17825961287828
1752216780,187,187.7,185,186.95,NaN,NaN,NaN,196.67838036542824,0,187.07431773394595,-37.654320987654486,-79.27927927927928,42.761607703120724,34.97120025519533
1752216840,187.45,188.3,185.5,188.25,NaN,NaN,NaN,196.67838036542824,0,187.2212780172027,-21.604938271604954,-76.52495378927912,48.84717797775318,42.930883006374096
1752216900,188.3,189,186.4,188.5,NaN,NaN,NaN,196.67838036542824,0,187.38111826505238,-11.409395973154304,-75.6007393715342,68.07627796445838,53.228354548444095
1752216960,188.2,190.4,188.2,189.95,NaN,NaN,NaN,196.67838036542824,0,187.70222848192083,-5.294117647059024,-70.24029574861372,87.3053779511636,68.07627796445838
1752217020,190,191.3,188.2,188.2,NaN,NaN,NaN,196.67838036542824,0,187.76444992168072,-41.333333333333634,-76.70979667282815,87.40592828962735,80.92919473508312
1752217080,188.6,190,188,188.5,NaN,NaN,NaN,196.67838036542824,0,187.85639368147062,-37.83783783783796,-75.6007393715342,76.81266618195639,83.84132414091577
1752217140,188.8,190.85,187.35,190.15,NaN,NaN,NaN,196.67838036542824,0,188.1430944712868,-15.540540540540606,-69.50092421441772,76.81266618195637,80.34375355118004
1752217200,190.05,190.05,178.05,185.6,NaN,NaN,NaN,196.35150907498755,0,187.82520766237593,-43.01886792452843,-75.56634304207124,59.22322156326064,70.94951797572446
1752217260,185.7,185.7,180.7,182.25,NaN,NaN,NaN,195.77135816748876,0,187.12830670457893,-68.30188679245292,-86.4077669902913,36.48315033759828,57.5063460276051
1752217320,181.55,184.15,181.55,183.35,NaN,NaN,NaN,194.94422235073992,0,186.65601836650657,-60.00000000000013,-74.94089834515373,8.55315313122702,34.753175010695315
1752217380,182.7,183.35,181,181.5,NaN,NaN,NaN,193.7648001156659,0,186.01151607069326,-73.96226415094348,-83.68794326241138,5.40333612696207,16.813213198595797
1752217440,181.8,181.8,175.75,176.55,NaN,NaN,NaN,191.02082010409933,0,184.8288265618566,-94.85530546623788,-96.5884861407249,5.40333612696207,6.453275128383722
1752217500,176.95,177.35,172.65,172.65,NaN,NaN,NaN,187.4312380936894,0,183.30647324162453,-100,-100,4.736951571734001e-15,3.6022240846413833
1752217560,173.85,175.45,170.3,171.65,NaN,NaN,NaN,185.60811428432044,0,181.84941408642146,-93.4306569343066,-95.3287197231834,4.144832625267251e-15,1.8011120423206946
1752217620,171.65,177,171.65,177,NaN,NaN,NaN,185.60811428432044,0,181.2432373256188,-67.39659367396597,-73.72549019607848,14.004520882610867,4.668173627536959
1752217680,176.8,179.8,176.1,177.75,NaN,NaN,NaN,185.60811428432044,1,180.80658265991644,-62.27848101265828,-70.78431372549024,29.732283382431547,14.578934755014139
1752217740,177.8,181.1,177.5,179.65,168.86249999999998,NaN,NaN,185.60811428432044,0,180.66200982742689,-39.285714285714235,-63.33333333333335,49.76259204862674,31.166465437889716
1752217800,179.95,180.3,178.25,178.25,168.86249999999998,NaN,NaN,185.60811428432044,0,180.36050859899854,-42.59927797833941,-62.142857142857196,53.354181888828464,44.28301910662892
1752217860,178.4,180.5,178.4,179.8,168.86249999999998,NaN,NaN,185.60811428432044,0,180.29044502412373,-27.20306513409952,-54.76190476190476,58.79747987594333,53.971417937799515
1752217920,178.85,180.5,177.75,180,168.86249999999998,NaN,NaN,185.60811428432044,0,180.25413939610826,-15.652173913043578,-53.80952380952387,60.40522706082181,57.51896294186454
1752217980,179.2,179.6,168.85,169,NaN,NaN,NaN,185.60811428432044,0,178.84737197159473,-98.7755102040816,-99.3318485523385,51.25481361188517,56.81917351621677
1752218040,168,173.85,165.5,172.15,NaN,NaN,NaN,184.23080991508257,1,178.01020047514538,-57.37179487179482,-74.22480620155038,48.97771851679378,53.54591972983359
1752218100,172.9,174.5,171.95,172.9,163.5425,NaN,NaN,184.23080991508257,0,177.3714254157522,-52.56410256410251,-71.31782945736433,48.63185204697754,49.6214613918855
1752218160,172.9,174.1,172.45,173.3,163.5425,NaN,NaN,184.23080991508257,0,176.8624972387832,-49.99999999999991,-69.76744186046508,62.80995832338791,53.473176295719746
1752218220,173.25,174.55,171.2,171.3,163.5425,NaN,NaN,184.23080991508257,0,176.1671850839353,-62.82051282051273,-77.51937984496121,62.144695646603715,57.86216867232306
1752218280,172.6,175.85,172.5,175.85,163.5425,NaN,NaN,184.23080991508257,0,176.12753694844338,-31.00000000000004,-59.8837209302326,73.81635158884734,66.25700185294632
1752218340,175.55,177.9,174.7,177.9,163.5425,NaN,NaN,184.23080991508257,0,176.34909482988795,-17.333333333333297,-51.937984496124024,84.52588137189439,73.49564286911514
1752218400,177.3,178,175.95,177.95,163.5425,NaN,NaN,184.23080991508257,0,176.54920797615196,-17.000000000000075,-51.74418604651169,99.63051199016775,85.9909149836365
1752218460,177.15,177.3,175.65,176.35,163.5425,NaN,NaN,184.23080991508257,0,176.52430697913297,-23.049645390070932,-57.945736434108575,95.08563845452579,93.08067727219598
1752218520,176,182.5,176,182.5,NaN,168.728,NaN,184.23080991508257,0,177.27126860674136,0,-34.10852713178298,95.08563845452579,96.60059629973978
1752218580,181.7,185.85,181.35,184.15,NaN,170.37800000000001,NaN,184.23080991508257,0,178.1311100308987,-11.60409556313985,-27.713178294573652,95.08563845452579,95.08563845452579
1752218640,183.25,186.8,182.4,186.35,NaN,172.578,172.22125771188192,NaN,0,179.15847127703637,-2.88461538461549,-19.186046511627964,100,96.72375896968386
1752218700,185.85,186.2,184,184.15,NaN,172.578,173.2541319406937,NaN,0,179.78241236740683,-16.9871794871795,-26.429980276134085,95.42160766988913,96.8357487081383
1752218760,184.15,185.35,182.85,184.4,NaN,172.578,173.2541319406937,NaN,0,180.35961082148097,-16.783216783216808,-25.443786982248483,91.24101059295293,95.55420608761402
1752218820,184.7,184.75,180.1,182.95,NaN,172.578,173.2541319406937,NaN,0,180.68340946879584,-31.818181818181948,-28.920570264765864,82.24135577705438,89.6346580132988
1752218880,182.45,187.8,182.1,186.05,NaN,172.578,173.2541319406937,NaN,0,181.35423328519636,-14.403292181069952,-7.847533632286991,84.21817328731953,85.90017988577561
1752218940,187,189.35,184.9,185.05,NaN,172.578,174.80222596628914,NaN,0,181.8162041245468,-31.386861313868515,-18.029350104821734,83.03190488244395,83.16381131560594
1752219000,183.4,184.15,181.55,183.65,NaN,172.578,174.80222596628914,NaN,0,182.04542860897845,-42.69662921348308,-23.899371069182347,82.82212788685779,83.35740201887374
1752219060,183.65,185.95,183.2,185.2,NaN,172.578,174.80222596628914,NaN,0,182.43975003285615,-44.86486486486493,-17.40041928721177,76.60401763991236,80.81935013640468
1752219120,185.7,186.6,182.65,184.5,NaN,172.578,174.80222596628914,NaN,0,182.69728127874913,-52.43243243243237,-20.335429769392015,69.29058331382154,76.23890961353055
1752219180,185.05,188,184.4,184.5,NaN,172.578,174.80222596628914,NaN,0,182.92262111890548,-52.43243243243237,-20.335429769392015,65.81971531740366,70.57143875704584
1752219240,184.55,185.5,182.25,182.25,NaN,172.578,174.80222596628914,NaN,0,182.8385434790423,-76.7567567567567,-29.76939203354296,50.84293140491888,61.984410012048016
1752219300,182.8,186.8,182.65,185,NaN,172.578,174.80222596628914,NaN,0,183.108725544162,-47.02702702702697,-18.238993710691805,46.73061707692406,54.46442126641551
1752219360,185.3,188.55,184.25,187.15,NaN,173.37800000000001,174.80222596628914,NaN,0,183.61388485114176,-28.205128205128123,-9.224318658280877,54.14432337742672,50.57262395308987
1752219420,186.85,188.5,186.3,187.6,NaN,173.828,176.10905562224804,NaN,0,184.11214924474905,-22.435897435897484,-7.337526205450735,75.02572961251217,58.633556688954286
1752219480,187.9,191.75,187.1,190.65,NaN,176.87800000000001,177.86815006002325,NaN,0,184.92938058915541,-10.784313725490152,-4.1904761904761685,91.81834374840957,73.6627989127828
1752219540,190.5,200.9,190.5,200.15,NaN,186.37800000000001,182.1788350540209,NaN,0,186.831958015511,-4.021447721179624,-2.11864406779661,97.0849372558095,87.97633687224372
1752219600,199.35,200.25,189.95,191.55,NaN,186.37800000000001,182.1788350540209,NaN,0,187.42171326357212,-50.134048257372605,-26.412429378531055,77.9276897394755,88.94365691456483
