time,open,high,low,close,Fixed Stop Loss,Supertrend Stop,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,EMA,Call Stop Loss,Call Take Profit,Put Stop Loss,Put Take Profit,Call EMA,Put EMA,Call Up Trend,Call Down Trend,Put Up Trend,Put Down Trend,K,D,%R,%R
1752048720,168.7,169.8,167.85,168.95,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.93872289086178,168.58634245269212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.02930075524825,47.65080615354041,-28.169014084507065,-52.77777777777788
1752048780,168.5,169.25,164.4,164.6,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.39638252950405,167.7890739621537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.32024140686399,48.34035516844241,-89.1304347826087,-93.05555555555556
1752048840,165.05,167.85,165.05,167.65,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.30308471331605,167.76125916972296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.18624597979311,50.845262713968474,-41.53846153846136,-64.81481481481475
1752048900,167,169.8,165.9,168.95,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.38394912415154,167.99900733577837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.174125489837714,52.56020429216496,-23.529411764706023,-52.77777777777788
1752048960,168.65,169.4,168.15,168.4,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.38595548363259,168.0792058686227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.25493176362926,65.20510107775338,-32.77310924369735,-57.87037037037031
1752049020,168.3,169.5,167.55,169.5,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.5252110481785,168.36336469489817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.80027227908242,80.74310984418315,-14.285714285714217,-47.68518518518519
1752049080,168.45,168.9,166.35,166.35,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.2533096671562,167.96069175591853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.47475876984474,87.5099876041855,-63.888888888889134,-76.85185185185188
1752049140,167,167.45,165.55,166.15,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,167.99039595876167,167.59855340473482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.38752321251812,81.22085142048178,-67.59259259259262,-78.70370370370362
1752049200,165.55,167,164,164,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,167.49159646391647,166.87884272378784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79927051990116,60.22051750075469,-100,-98.5915492957746
1752049260,164.15,166.45,164.15,164.8,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,167.1551469059269,166.4630741790303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.75671273467636,41.31450215569856,-86.20689655172397,-91.07981220657261
1752049320,165,166.3,164.95,165.45,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,166.94200354268602,166.26045934322423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.76212577595127,25.772703010176286,-75.00000000000024,-84.61538461538468
1752049380,166,168.15,165.75,168,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,167.07425309985027,166.60836747457938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.52178695719917,31.013541822608953,-31.034482758620825,-60.09615384615381
1752049440,167.55,167.55,164.85,164.85,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,166.79622146236898,166.2566939796635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.79550063779025,41.026471123646914,-84.54545454545465,-90.38461538461539
